trade,class,gender,race,count,total,percent,ratio,denom
Asbestos Workers,Journeyman,Male,White,226,226,1,1:3,3
Carpenters,Journeyman,Male,White,21588,21588,1,1:4,4
Carpenters,Apprentice,Male,White,2713,3629,0.7475888674565996,1:4,4
Carpenters,Apprentice,Male,Minority,724,3629,0.19950399559107193,1:4,4
Carpenters,Apprentice,Female,White,192,3629,0.052907136952328467,1:4,4
Cement Masons,Journeyman,Male,White,3181,3618,0.8792150359314539,1:4,4
Cement Masons,Journeyman,Male,Minority,437,3618,0.12078496406854616,1:4,4
Cement Masons,Apprentice,Male,White,160,160,1,1:4,4
Electrician,Journeyman,Male,White,5050,5050,1,1:2,2
Electrician,Apprentice,Male,White,46,46,1,1:2,2
Equipment Operator,Journeyman,Male,White,32710,39702,0.8238879653417964,1:5,5
Equipment Operator,Journeyman,Male,Minority,2568,39702,0.06468188000604504,1:5,5
Equipment Operator,Journeyman,Female,White,4424,39702,0.11143015465215858,1:5,5
Equipment Operator,Apprentice,Male,White,20,114,0.17543859649122806,1:5,5
Equipment Operator,Apprentice,Male,Minority,94,114,0.8245614035087719,1:5,5
Foremen,Journeyman,Male,White,289,316,0.9145569620253164,NA,NA
Foremen,Journeyman,Male,Minority,27,316,0.08544303797468354,NA,NA
Ironworkers,Journeyman,Male,White,4029,5123,0.7864532500487995,1:4,4
Ironworkers,Journeyman,Male,Minority,1070,5123,0.20886199492484872,1:4,4
Ironworkers,Journeyman,Female,Minority,24,5123,0.004684755026351747,1:4,4
Ironworkers,Apprentice,Male,White,876,1011,0.8664688427299704,1:4,4
Ironworkers,Apprentice,Male,Minority,135,1011,0.13353115727002968,1:4,4
Laborer Semi-skilled,Journeyman,Male,White,64604,83856,0.7704159511543599,1:3,3
Laborer Semi-skilled,Journeyman,Male,Minority,14118,83856,0.16836004579278763,1:3,3
Laborer Semi-skilled,Journeyman,Female,White,3047,83856,0.03633609998091967,1:3,3
Laborer Semi-skilled,Journeyman,Female,Minority,2087,83856,0.024887903071932838,1:3,3
Laborer Semi-skilled,Apprentice,Female,White,2227,2227,1,1:3,3
Laborer Unskilled,Journeyman,Male,White,613,631,0.971473851030111,1:3,3
Laborer Unskilled,Journeyman,Male,Minority,18,631,0.028526148969889066,1:3,3
Mechanics,Journeyman,Male,White,81,81,1,NA,NA
Piledriver,Journeyman,Male,White,2195,2195,1,1:4,4
Piledriver,Apprentice,Male,White,63,150,0.42,1:4,4
Piledriver,Apprentice,Male,Minority,87,150,0.58,1:4,4
Supervisors,Journeyman,Male,White,123,133,0.924812030075188,NA,NA
Supervisors,Journeyman,Male,Minority,10,133,0.07518796992481203,NA,NA
Surveyors,Journeyman,Male,White,2585,2585,1,NA,NA
Truckdrivers,Journeyman,Male,White,200,200,1,NA,NA
Welders and Cutters,Journeyman,Male,White,153,242,0.6322314049586777,1:3,3
Welders and Cutters,Journeyman,Male,Minority,89,242,0.3677685950413223,1:3,3
