within,race,workers,wrk_prc,records,rec_prc,hours,hrs_prc,gross,grs_prc
Within,Black,6,0.029411764705882353,33,0.036026200873362446,1427,0.0401128895335436,39018.38,0.03450001696778097
Within,White,3,0.014705882352941176,18,0.019650655021834062,715,0.02009860968218898,18980.73,0.0167827446208907
Within,Multiracial,2,0.00980392156862745,4,0.004366812227074236,155.5,0.00437109623158096,2378.7400000000002,0.0021032797969044157
Within,Indigenous,1,0.004901960784313725,1,0.001091703056768559,40,0.0011243977444581246,1160,0.001025670970517636
Outside,White,118,0.5784313725490197,592,0.6462882096069869,24122.5,0.6780821147672778,763641.18,0.6752108536360629
Outside,Black,4,0.0196078431372549,12,0.013100436681222707,514,0.014448511016286901,12041.5,0.010647083613351824
Outside,Indigenous,3,0.014705882352941176,20,0.021834061135371178,599,0.016837856223260415,14937.1,0.013207370563550848
Outside,Hispanic,1,0.004901960784313725,2,0.002183406113537118,80,0.002248795488916249,2320,0.002051341941035272
Outside,Multiracial,1,0.004901960784313725,10,0.010917030567685589,334.5,0.009402776138031067,8518.4,0.00753196172004951
